run_id,run_name,url,created_at,arm,seed,batch,budget_steps,requested_step,matched_step,step_lag,evidence_tier,config/seed,config/max_train_steps,config/train_batch_size,config/backbone_position_mode,config/adam_beta1,config/adam_beta2,config/history_cartesian_features,config/history_polar_features,config/centering,config/input_timestep_conditioning,config/input_projection_init,config/loss_metric,config/orbit_scale_exponent,config/learned_output_gain,config/history_corruption,grad_norm,output_gain/max,output_gain/mean,output_gain/min,projection_grad_rms/diffusion_input,projection_grad_rms/diffusion_output,projection_grad_rms/token_proj,robustness/condition_cosine,robustness/condition_relative_rms,robustness/gaussian/phase_circular_error,robustness/gaussian/physical_complex_nrmse,robustness/gaussian_delta/phase_circular_error,robustness/gaussian_delta/physical_complex_nrmse,spectral/log_amplitude_bias,spectral/log_amplitude_mae,spectral/normalized_active_mse,spectral/phase_circular_error,spectral/phase_coherence,spectral/physical_complex_nrmse,spectral/radial_power_relative_error,spectral/timestep/0/phase_circular_error,spectral/timestep/0/physical_complex_nrmse,spectral/timestep/533/phase_circular_error,spectral/timestep/533/physical_complex_nrmse,spectral/timestep/999/phase_circular_error,spectral/timestep/999/physical_complex_nrmse,control_arm,delta/grad_norm,delta/output_gain/max,delta/output_gain/mean,delta/output_gain/min,delta/projection_grad_rms/diffusion_input,delta/projection_grad_rms/diffusion_output,delta/projection_grad_rms/token_proj,delta/robustness/condition_cosine,improvement/robustness/condition_cosine,delta/robustness/condition_relative_rms,improvement/robustness/condition_relative_rms,delta/robustness/gaussian/phase_circular_error,improvement/robustness/gaussian/phase_circular_error,delta/robustness/gaussian/physical_complex_nrmse,improvement/robustness/gaussian/physical_complex_nrmse,delta/robustness/gaussian_delta/phase_circular_error,improvement/robustness/gaussian_delta/phase_circular_error,delta/robustness/gaussian_delta/physical_complex_nrmse,improvement/robustness/gaussian_delta/physical_complex_nrmse,delta/spectral/log_amplitude_bias,improvement/spectral/log_amplitude_bias,delta/spectral/log_amplitude_mae,improvement/spectral/log_amplitude_mae,delta/spectral/normalized_active_mse,improvement/spectral/normalized_active_mse,delta/spectral/phase_circular_error,improvement/spectral/phase_circular_error,delta/spectral/phase_coherence,improvement/spectral/phase_coherence,delta/spectral/physical_complex_nrmse,improvement/spectral/physical_complex_nrmse,delta/spectral/radial_power_relative_error,improvement/spectral/radial_power_relative_error,delta/spectral/timestep/0/phase_circular_error,improvement/spectral/timestep/0/phase_circular_error,delta/spectral/timestep/0/physical_complex_nrmse,improvement/spectral/timestep/0/physical_complex_nrmse,delta/spectral/timestep/533/phase_circular_error,improvement/spectral/timestep/533/phase_circular_error,delta/spectral/timestep/533/physical_complex_nrmse,improvement/spectral/timestep/533/physical_complex_nrmse,delta/spectral/timestep/999/phase_circular_error,improvement/spectral/timestep/999/phase_circular_error,delta/spectral/timestep/999/physical_complex_nrmse,improvement/spectral/timestep/999/physical_complex_nrmse
qujl58q8,arch-g-clean-s0-b128-n5000,https://wandb.ai/ethansmith2000/afig-continuous/runs/qujl58q8,2026-07-26T19:05:48Z,g-clean,0,128,5000,5000,5000,0,exploratory,0,5000,128,random_table,0.9,0.99,phase_preserving,none,all,none,xavier,orbit_scale_power,0.2,True,none,0.08058705180883408,1.0133994817733765,1.004024624824524,0.9864277839660645,3.4529373806435615e-05,0.0008362606167793274,7.220955740194768e-05,0.9973569512367249,0.07270549237728119,0.2845788896083832,0.2802250385284424,0.0008077025413513184,0.0005609393119812012,-0.26520994305610657,0.49596667289733887,0.32070326805114746,0.28377118706703186,0.7162593603134155,0.2796640992164612,0.3009558320045471,0.0009957535658031702,0.005834714509546757,0.2502439320087433,0.34738603234291077,0.618276834487915,0.29507941007614136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7xc4lsil,arch-g-noise-s0-b128-n5000,https://wandb.ai/ethansmith2000/afig-continuous/runs/7xc4lsil,2026-07-26T19:05:48Z,g-noise,0,128,5000,5000,5000,0,exploratory,0,5000,128,random_table,0.9,0.99,phase_preserving,none,all,none,xavier,orbit_scale_power,0.2,True,gaussian,0.0696839913725853,1.0163086652755737,1.0040358304977417,0.9802839756011963,3.303290577605367e-05,0.00043904443737119436,7.766245835227892e-05,0.9974578022956848,0.07130684703588486,0.2826133966445923,0.2816459536552429,0.0008590817451477051,0.00048273801803588867,-0.2621268332004547,0.4950917959213257,0.3188951313495636,0.2817543148994446,0.7183281183242798,0.28116321563720703,0.29891058802604675,0.0010485282400622964,0.0056793587282299995,0.2567395567893982,0.34413817524909973,0.6009088754653931,0.2939612865447998,g-clean,-0.01090306043624878,0.0029091835021972656,1.1205673217773438e-05,-0.006143808364868164,-1.4964680303819478e-06,-0.00039721617940813303,5.452900950331241e-06,0.00010085105895996094,0.00010085105895996094,-0.0013986453413963318,0.0013986453413963318,-0.0019654929637908936,0.0019654929637908936,0.0014209151268005371,-0.0014209151268005371,5.137920379638672e-05,-5.137920379638672e-05,-7.82012939453125e-05,7.82012939453125e-05,0.0030831098556518555,0.0030831098556518555,-0.0008748769760131836,0.0008748769760131836,-0.0018081367015838623,0.0018081367015838623,-0.0020168721675872803,0.0020168721675872803,0.002068758010864258,0.002068758010864258,0.0014991164207458496,-0.0014991164207458496,-0.002045243978500366,0.002045243978500366,5.2774674259126186e-05,-5.2774674259126186e-05,-0.0001553557813167572,0.0001553557813167572,0.006495624780654907,-0.006495624780654907,-0.003247857093811035,0.003247857093811035,-0.017367959022521973,0.017367959022521973,-0.0011181235313415527,0.0011181235313415527
tolf38it,arch-f-alpha0-s0-b128-n5000,https://wandb.ai/ethansmith2000/afig-continuous/runs/tolf38it,2026-07-26T17:59:47Z,f-alpha0,0,128,5000,5000,5000,0,exploratory,0,5000,128,random_table,0.9,0.99,phase_preserving,none,all,none,xavier,orbit_scale_power,0,False,none,0.07581532746553421,,,,3.3596690627746284e-05,0.0007438469328917563,8.897129009710625e-05,,,,,,,-0.2645363509654999,0.4967087209224701,0.3240060806274414,0.2877759635448456,0.7122801542282104,0.28481724858283997,0.3076053261756897,0.0007802218315191567,0.006584827322512865,0.25427916646003723,0.34688785672187805,0.6265091896057129,0.30634430050849915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kvh7yt8o,arch-f-alpha02-s0-b128-n5000,https://wandb.ai/ethansmith2000/afig-continuous/runs/kvh7yt8o,2026-07-26T17:59:47Z,f-alpha02,0,128,5000,5000,5000,0,exploratory,0,5000,128,random_table,0.9,0.99,phase_preserving,none,all,none,xavier,orbit_scale_power,0.2,False,none,0.08624888211488724,,,,3.582850695238449e-05,0.0008856440545059741,9.90494663710706e-05,,,,,,,-0.2641730010509491,0.4954984188079834,0.32053300738334656,0.28425881266593933,0.7157873511314392,0.282671183347702,0.2994787395000458,0.000942293438129127,0.006276826374232769,0.2637633979320526,0.34799298644065857,0.6122696399688721,0.30100980401039124,f-alpha0,0.010433554649353027,,,,2.2318163246382028e-06,0.00014179712161421776,1.0078176273964345e-05,,,,,,,,,,,,,0.00036334991455078125,0.00036334991455078125,-0.0012103021144866943,0.0012103021144866943,-0.0034730732440948486,0.0034730732440948486,-0.00351715087890625,0.00351715087890625,0.0035071969032287598,0.0035071969032287598,-0.0021460652351379395,0.0021460652351379395,-0.008126586675643921,0.008126586675643921,0.00016207160660997033,-0.00016207160660997033,-0.00030800094828009605,0.00030800094828009605,0.00948423147201538,-0.00948423147201538,0.0011051297187805176,-0.0011051297187805176,-0.01423954963684082,0.01423954963684082,-0.00533449649810791,0.00533449649810791
a421onhq,arch-f-alpha1-s0-b128-n5000,https://wandb.ai/ethansmith2000/afig-continuous/runs/a421onhq,2026-07-26T17:59:46Z,f-alpha1,0,128,5000,5000,5000,0,exploratory,0,5000,128,random_table,0.9,0.99,phase_preserving,none,all,none,xavier,orbit_scale_power,1,False,none,0.3157694637775421,,,,0.0004181031254120171,0.004415052942931652,4.515290493145585e-05,,,,,,,-0.404039591550827,0.6285545229911804,0.39789748191833496,0.3618488609790802,0.6381879448890686,0.2892319858074188,0.3674868047237396,0.0029162331484258175,0.009386314079165459,0.28125590085983276,0.3467097282409668,0.9479063153266907,0.323294997215271,f-alpha0,0.2399541363120079,,,,0.0003845064347842708,0.0036712060100398958,-4.38183851656504e-05,,,,,,,,,,,,,-0.13950324058532715,-0.13950324058532715,0.13184580206871033,-0.13184580206871033,0.07389140129089355,-0.07389140129089355,0.07407289743423462,-0.07407289743423462,-0.07409220933914185,-0.07409220933914185,0.004414737224578857,-0.004414737224578857,0.05988147854804993,-0.05988147854804993,0.002136011316906661,-0.002136011316906661,0.0028014867566525936,-0.0028014867566525936,0.026976734399795532,-0.026976734399795532,-0.00017812848091125488,0.00017812848091125488,0.3213971257209778,-0.3213971257209778,0.01695069670677185,-0.01695069670677185
1i061qdh,arch-f-gain-s0-b128-n5000,https://wandb.ai/ethansmith2000/afig-continuous/runs/1i061qdh,2026-07-26T17:59:46Z,f-gain,0,128,5000,5000,5000,0,exploratory,0,5000,128,random_table,0.9,0.99,phase_preserving,none,all,none,xavier,orbit_scale_power,0.2,True,none,0.08249820023775101,1.0155494213104248,1.0041704177856445,0.9772825837135315,3.4135464375140145e-05,0.0008404357940889895,8.64014436956495e-05,,,,,,,-0.26682567596435547,0.49811163544654846,0.3199465274810791,0.28456953167915344,0.7154844403266907,0.28227663040161133,0.29864656925201416,0.0008020669920369983,0.006115963216871023,0.25995728373527527,0.3501598536968231,0.6264536380767822,0.29699569940567017,f-alpha02,-0.0037506818771362305,,,,-1.6930425772443414e-06,-4.520826041698456e-05,-1.2648022675421089e-05,,,,,,,,,,,,,-0.002652674913406372,-0.002652674913406372,0.0026132166385650635,-0.0026132166385650635,-0.0005864799022674561,0.0005864799022674561,0.00031071901321411133,-0.00031071901321411133,-0.00030291080474853516,-0.00030291080474853516,-0.00039455294609069824,0.00039455294609069824,-0.0008321702480316162,0.0008321702480316162,-0.00014022644609212875,0.00014022644609212875,-0.00016086315736174583,0.00016086315736174583,-0.0038061141967773438,0.0038061141967773438,0.0021668672561645508,-0.0021668672561645508,0.014183998107910156,-0.014183998107910156,-0.004014104604721069,0.004014104604721069
vhy7csmd,arch-s1-s0-b128-n5000,https://wandb.ai/ethansmith2000/afig-continuous/runs/vhy7csmd,2026-07-26T17:27:04Z,s1,0,128,5000,5000,5000,0,exploratory,0,5000,128,random_table,0.9,0.99,phase_preserving,none,all,film,xavier,normalized,0,False,none,0.0814453661441803,,,,3.4821110602933913e-05,0.0008177667041309178,9.31542381295003e-05,,,,,,,-0.2627885043621063,0.4941720962524414,0.3202466070652008,0.2846471667289734,0.7153741121292114,0.28381529450416565,0.3024749457836151,0.0006216467591002584,0.008411183021962643,0.2529931366443634,0.34994781017303467,0.6051565408706665,0.2937360107898712,s0,0.006013780832290649,,,,-1.7795537132769823e-07,0.00012582523049786687,-7.553244358859956e-06,,,,,,,,,,,,,0.007261186838150024,0.007261186838150024,-0.005479663610458374,0.005479663610458374,-0.005298823118209839,0.005298823118209839,-0.003245532512664795,0.003245532512664795,0.0032579898834228516,0.0032579898834228516,-0.0013624727725982666,0.0013624727725982666,-0.0030837953090667725,0.0030837953090667725,-7.838848978281021e-05,7.838848978281021e-05,0.0019022929482161999,-0.0019022929482161999,-0.0028331875801086426,0.0028331875801086426,0.008653044700622559,-0.008653044700622559,-0.018430113792419434,0.018430113792419434,-0.01366850733757019,0.01366850733757019
wi4nbwji,arch-s0-s0-b128-n5000,https://wandb.ai/ethansmith2000/afig-continuous/runs/wi4nbwji,2026-07-26T17:27:03Z,s0,0,128,5000,5000,5000,0,exploratory,0,5000,128,random_table,0.9,0.99,phase_preserving,none,all,none,xavier,normalized,0,False,none,0.07543158531188965,,,,3.499906597426161e-05,0.0006919414736330509,0.00010070748248836026,,,,,,,-0.27004969120025635,0.4996517598628998,0.32554543018341064,0.2878926992416382,0.7121161222457886,0.2851777672767639,0.3055587410926819,0.0007000352488830686,0.006508890073746443,0.25582632422447205,0.3412947654724121,0.6235866546630859,0.3074045181274414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
szgvtbvx,arch-n1-s0-b128-n5000,https://wandb.ai/ethansmith2000/afig-continuous/runs/szgvtbvx,2026-07-26T16:54:13Z,n1,0,128,5000,5000,5000,0,exploratory,0,5000,128,random_table,0.9,0.99,phase_preserving,none,self_conjugate_std,none,xavier,normalized,0,False,none,0.07010917365550995,,,,3.611183274188079e-05,0.0006603901274502277,7.732991070952266e-05,,,,,,,-0.2729889750480652,0.5021604299545288,0.32712849974632263,0.28911104798316956,0.7109241485595703,0.2833671271800995,0.3061087429523468,0.0009390948107466102,0.006380649749189615,0.25381162762641907,0.3439236581325531,0.620237410068512,0.30475369095802307,n0,-0.00426599383354187,,,,7.498965715058148e-08,-5.980383139103651e-05,-1.162043190561235e-05,,,,,,,,,,,,,-0.0034846365451812744,-0.0034846365451812744,0.0044505298137664795,-0.0044505298137664795,0.003647446632385254,-0.003647446632385254,-8.398294448852539e-05,8.398294448852539e-05,7.927417755126953e-05,7.927417755126953e-05,-0.0006364881992340088,0.0006364881992340088,0.006322115659713745,-0.006322115659713745,0.000175009248778224,-0.000175009248778224,-0.0009799809195101261,0.0009799809195101261,-0.006892770528793335,0.006892770528793335,-0.0005775094032287598,0.0005775094032287598,-0.0015705227851867676,0.0015705227851867676,0.0032738447189331055,-0.0032738447189331055
p6aqj5zq,arch-n0-s0-b128-n5000,https://wandb.ai/ethansmith2000/afig-continuous/runs/p6aqj5zq,2026-07-26T16:54:13Z,n0,0,128,5000,5000,5000,0,exploratory,0,5000,128,random_table,0.9,0.99,phase_preserving,none,all,none,xavier,normalized,0,False,none,0.07437516748905182,,,,3.603684308473021e-05,0.0007201939588412642,8.895034261513501e-05,,,,,,,-0.2695043385028839,0.49770990014076233,0.3234810531139374,0.2891950309276581,0.710844874382019,0.2840036153793335,0.29978662729263306,0.0007640855619683862,0.007360630668699741,0.2607043981552124,0.34450116753578186,0.6218079328536987,0.30147984623908997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
